Part,Color,Quantity
61332,0,26
973c01h03pr0002,0,1
973c27h03pr0001,0,1
970c00pr9837,0,1
973c03h03pr5428,0,1
970c00pr2009,0,1
22385pr0113,0,1
3626cpr3352,0,1
22385pr9972,0,1
85984,1,4
2431,1,1
3010,1,4
3665,1,8
3023,1,83
3005,1,8
2412b,1,1
32526,1,4
32013,1,2
2654,1,12
3710,1,8
54200,1,7
3795,1,1
3068b,1,1
3069b,1,1
6141,1,11
4599b,1,7
3022,1,2
3747b,1,2
3020,1,17
4081b,1,1
4070,1,4
3460,1,2
3001,1,5
3002,1,4
60481,1,4
32278,1,2
27263,1,2
3021,1,4
3666,1,3
41669,1,2
27940,1,4
3623,1,2
2420,1,12
2456,1,13
24299,1,1
4477,1,1
11153,1,2
32015,1,8
11947,1,2
11477,1,6
25269,1,5
24307,1,1
2445,1,1
973c01h01pr1440,1,1
64448,1,6
87086,1,1
32199,1,3
64681,1,1
48336,1,4
11946,1,2
32524,1,2
32039,1,4
6558,1,57
87080,1,1
4274,1,82
3700,1,2
64393,1,1
93273,1,2
43093,1,58
35185,1,1
33909,1,1
29120,1,2
29119,1,2
42531pr0002,1,1
42531pr0001,1,1
71682,1,2
66953pat0001,1,1
973e064pr5128,1,1
973c28h01pr5115,1,1
65487,1,2
42924,1,72
85984,2,6
3023,2,19
3040b,2,10
3005,2,9
3710,2,1
15068,2,4
3003,2,12
54200,2,10
3795,2,3
3068b,2,4
3622,2,9
6141,2,33
3022,2,3
3024,2,3
3004,2,3
3020,2,5
4070,2,4
3001,2,4
99780,2,1
50950,2,4
41769,2,3
3666,2,7
3031,2,3
3660,2,2
3623,2,6
30357,2,4
26047,2,5
11153,2,6
11477,2,4
41770,2,3
6005,2,2
88072,2,4
60608,2,2
3867,2,1
15535,2,1
30176,2,2
92438,2,1
48336,2,2
15619,2,1
3035,2,1
3037,2,4
43712,2,1
3062b,2,12
59900,2,4
66953pat0001,2,1
973e069pr5129,2,1
970c00pr9883,2,1
973c01h03pr4970,2,1
85984,4,25
2431,4,4
3010,4,20
6091,4,10
3023,4,37
3040b,4,4
3005,4,49
